id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURXbE11WlVBEAE,"(Translated by Google) WORST DELIVERY, THE PACKAGE WAS BROUGHT BY THE COURIER, THE STATUS ARRIVED BUT I HAVE NOT RECEIVED THE ITEM UNTIL NOW, WILL BE Investigated BUT THERE IS NO CLEARANCE. …",3 days ago,2022-03-20 14:37:27.350331,1.0,Verdiansyah,0,0,https://www.google.com/maps/contrib/101982136531938117009/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXcl9XZlNREAE,"(Translated by Google) I'm commenting here because all couriers and courier superiors and the center have not responded to my return package which was lost for 500 thousand, it's already the 8th day...if you call everything, no one dares to …",a week ago,2022-03-20 14:37:27.351885,1.0,Dodo Sipetualang Babel,0,0,https://www.google.com/maps/contrib/110874800508065426803/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXbWN5TXNBRRAB,,2 weeks ago,2022-03-20 14:37:27.353603,1.0,Novi Lie,0,0,https://www.google.com/maps/contrib/110854326057276523745/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXbXA3NUpREAE,(Translated by Google) CS call center on behalf of Novi and Agung is not good at handling complaints.. officers who have no manners... …,3 weeks ago,2022-03-20 14:37:27.355318,1.0,Human Capital,0,0,https://www.google.com/maps/contrib/104384094251258986954/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXaUxuRFRnEAE,"(Translated by Google) It's outrageous that the ninja company's courier salary has not been paid until today with the reason being returned!! It doesn't make sense that the salary is returned from the months before it comes in, it's just …",a month ago,2022-03-20 14:37:27.357000,1.0,Cut Annisa Ibrahim,0,0,https://www.google.com/maps/contrib/103278837032970021389/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXNEk3XzB3RRAB,,a month ago,2022-03-20 14:37:27.358400,4.0,Yufa,0,0,https://www.google.com/maps/contrib/107314322654160586507/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtNDRxNU1REAE,"(Translated by Google) Good morning, I apologize in advance that I have something to say about the delivery estimate and the etiquette of my employees (couriers) as a customer, I object to the courier for the Sunter Agung area rt 018 rw …",a month ago,2022-03-20 14:37:27.360076,1.0,Kani Delta,0,0,https://www.google.com/maps/contrib/103463459994565964143/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtdGFxMHdBRRAB,"(Translated by Google) Pls really this is for sellers of online shopee application sellers, lazada, etc. don't use ninja xpress courier! the goods did not arrive, even though it was urgent. most unclean expedition ever. …",a month ago,2022-03-20 14:37:27.361683,1.0,Agisna Fitriana,0,0,https://www.google.com/maps/contrib/111252962220221223575/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtLWJ1Y2R3EAE,"(Translated by Google) Very disappointed and untrustworthy, I have used the ninja express expedition twice, my goods were exchanged for other people's goods. …",a month ago,2022-03-20 14:37:27.363249,1.0,Safinatun najah,0,0,https://www.google.com/maps/contrib/113526156743111573249/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtbm92OHNnRRAB,,a month ago,2022-03-20 14:37:27.364709,1.0,bang jay,0,0,https://www.google.com/maps/contrib/114835882713706643724/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtaHZ1X3p3RRAB,"(Translated by Google) Courier delivers goods at 10 pm, just ask and deliver, maybe I'll even tell you to wait...... the package got lost in the past, how about using a ninja, it's not good …",a month ago,2022-03-20 14:37:27.366195,1.0,Dias Effita,0,0,https://www.google.com/maps/contrib/104317898779412923423/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtM19MWDhRRRAB,,2 months ago,2022-03-20 14:37:27.367683,1.0,Wahyu Syeh,0,0,https://www.google.com/maps/contrib/109112933088063943815/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtNzl2eXh3RRAB,"(Translated by Google) Mr ninja, I sent the package, it's been 3 weeks, the package hasn't arrived yet. This is Anter, the package goes up in a snail or what …",2 months ago,2022-03-20 14:37:27.369048,1.0,Lapakayamhias Purwokerto,0,0,https://www.google.com/maps/contrib/115354487929982810480/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtMTc3RnZ3RRAB,(Translated by Google) Ninja experes courier payday has not come down from the 8th of this month. Makes us all Balngsakk !! Even though we really need it but there is no clarity!! …,2 months ago,2022-03-20 14:37:27.370408,1.0,Caesar Zulian,0,0,https://www.google.com/maps/contrib/107327758734496648731/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtOWVtcFNREAE,"(Translated by Google) the service is not good, the courier does not want to call the recipient, so the status is written failed to send even though the recipient is at home. …",2 months ago,2022-03-20 14:37:27.371760,1.0,Magdalena Catanya,0,0,https://www.google.com/maps/contrib/103801698328692005308/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtNmFESUt3EAE,"(Translated by Google) I as a Lazada seller have lost a lot in ninja delivery services, not trustworthy, long hands, my packages always return, the reason is not clear, 2 weeks the goods did not finally return, until here the goods were …",2 months ago,2022-03-20 14:37:27.373252,1.0,Nusa Kambangan,0,0,https://www.google.com/maps/contrib/103991568310733379209/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtOGNXU29nRRAB,(Translated by Google) Excellent  (Original) Mantap,2 months ago,2022-03-20 14:37:27.374777,5.0,Misty Mornin,0,0,https://www.google.com/maps/contrib/104329938199471636503/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtc2FITTVBRRAB,,2 months ago,2022-03-20 14:37:27.376193,3.0,Raķá Ğâmîñğ,0,0,https://www.google.com/maps/contrib/107305024601986109476/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtN3AtM2VBEAE,"(Translated by Google) Sorry, I want to complain about this, the item is broken, I have complained to the seller, he said from the delivery party, please ask for responsibility …",2 months ago,2022-03-20 14:37:27.377562,1.0,Endang Rahman,0,0,https://www.google.com/maps/contrib/104244225933415286620/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtdXZqZXBBRRAB,(Translated by Google) cc review of Ninja Xpress STR Pegangsaan Dua (across from Gading Nias Timur Apartment): …,2 months ago,2022-03-20 14:37:27.379039,1.0,Card Master,0,0,https://www.google.com/maps/contrib/108156437330591794810/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtZ3BQRGxBRRAB,"(Translated by Google) I, as a seller who has a new online shop, have only used this expedition once, but I am really very disappointed. The courier and CS did not provide good service. My package was not delivered to the destination …",2 months ago,2022-03-20 14:37:33.655315,1.0,lastiar manihuruk,0,0,https://www.google.com/maps/contrib/117476509761550875065/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtX1BuMnlRRRAB,"(Translated by Google) Why hasn't my package arrived yet? It's been two weeks, bro. What's the courier doing?!, it took so long to arrive. Ask the courier for help, I want to use the goods from Kamarin-yesterday …",2 months ago,2022-03-20 14:37:33.657503,1.0,Nur wafia,0,0,https://www.google.com/maps/contrib/103056812865025793353/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtdkpPN1lnEAE,(Translated by Google) OK  (Original) Sip,2 months ago,2022-03-20 14:37:33.658996,4.0,Insan_Em Channel,0,0,https://www.google.com/maps/contrib/102849608155769345220/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNtOUxqYVNBEAE,"(Translated by Google) The package has not arrived in 11 days! The status failed to send continuously! Even though the courier has WhatsApp, they want to be delivered tomorrow but until now it's a shame! …",3 months ago,2022-03-20 14:37:33.660379,1.0,Siti Aisah,0,0,https://www.google.com/maps/contrib/100528541904783117182/reviews?hl=en-US
